date,rank,change,sing_id,subject,singer,rank_out_term,play_in_term,listen_in_term,play_total,listen_total
2019/12/09/12,1,-,89688529,십이월 이십오일의 고백,정승환,1,27185.0,4445.0,2597213,833263
2019/12/09/13,1,-,89688529,십이월 이십오일의 고백,정승환,1,29045.0,4787.0,2626258,838050
2019/12/09/14,1,-,89688529,십이월 이십오일의 고백,정승환,1,29729.0,4894.0,2655987,842944
2019/12/09/15,1,-,89688529,십이월 이십오일의 고백,정승환,1,28335.0,4551.0,2684322,847495
2019/12/09/16,2,1,89688529,십이월 이십오일의 고백,정승환,1,28332.0,4252.0,2712654,851747
2019/12/09/17,3,1,89688529,십이월 이십오일의 고백,정승환,1,27196.0,3478.0,2739850,855225
2019/12/09/18,3,-,89688529,십이월 이십오일의 고백,정승환,1,28004.0,3330.0,2767854,858555
2019/12/09/19,4,1,89688529,십이월 이십오일의 고백,정승환,1,33809.0,4191.0,2801663,862746
2019/12/09/20,4,-,89688529,십이월 이십오일의 고백,정승환,1,26572.0,2859.0,2828235,865605
2019/12/09/21,4,-,89688529,십이월 이십오일의 고백,정승환,1,23788.0,2554.0,2852023,868159
2019/12/09/22,4,-,89688529,십이월 이십오일의 고백,정승환,1,22043.0,2221.0,2874066,870380
2019/12/09/23,4,-,89688529,십이월 이십오일의 고백,정승환,1,20898.0,2077.0,2894964,872457
2019/12/10/0,3,1,89688529,십이월 이십오일의 고백,정승환,1,16842.0,1536.0,2911806,873993
2019/12/10/1,2,1,89688529,십이월 이십오일의 고백,정승환,1,14130.0,1428.0,2925936,875421
2019/12/10/2,2,1,89688529,십이월 이십오일의 고백,정승환,1,11230.0,1073.0,2937166,876494
2019/12/10/3,2,1,89688529,십이월 이십오일의 고백,정승환,1,8501.0,656.0,2945667,877150
2019/12/10/4,2,1,89688529,십이월 이십오일의 고백,정승환,1,6541.0,448.0,2952208,877598
2019/12/10/5,2,1,89688529,십이월 이십오일의 고백,정승환,1,5478.0,370.0,2957686,877968
