sing_id,subject,singer,앨범 종류,발매일,장르,스타일,기획사,유통사
89655996,나비효과 (Butterfly Effect),EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89346569,헤어지자 (Prod. by 정키 (Jung Key)),휘인 (Whee In),싱글,2019.09.04,발라드,발라드,㈜알비더블유,카카오엔터테인먼트
87538989,Snowman,Sia,싱글,2020.12.31,팝,팝,Sing2Music Productions Pty Ltd,FUGA
89238855,그대라는 시,태연 (TAEYEON),OST,2019.07.21,발라드,발라드,냠냠엔터테인먼트,Dreamus
89586709,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),EP(미니),2019.11.12,발라드,발라드,엔터테인먼트 뉴오더,카카오엔터테인먼트
80897960,미리 메리 크리스마스 (Feat. 천둥 of MBLAQ),아이유 (IU),EP(미니),2010.12.09,댄스/팝,팝,카카오엔터테인먼트,카카오엔터테인먼트
89655991,춤 (Groove),EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89378658,Feel Special,TWICE (트와이스),EP(미니),2019.09.23,댄스/팝,댄스 팝,JYP엔터테인먼트,Dreamus
89655994,Non Stop,EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
88709300,사계 (Four Seasons),태연 (TAEYEON),싱글,2019.03.24,댄스/팝,발라드,SM ENTERTAINMENT,Dreamus
89655995,오늘도 (Day After Day),EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89655990,지킬 (Jekyll),EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89674570,잘 살고 있다,V.O.S,싱글,2019.12.02,발라드,발라드,㈜ 스튜디오 오드리,카카오엔터테인먼트
89655993,Baby You Are,EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89655992,Ya Ya Ya,EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89322907,벗,닐로 (Nilo),싱글,2019.08.26,발라드,발라드,LIMEZ,유니버설뮤직코리아
89493649,샤넬 (Feat. 박봄),MC몽,정규,2019.10.25,랩/힙합,랩,(주)밀리언마켓,Dreamus
89554784,5월의 밤,Zion.T,싱글,2019.11.06,발라드,발라드,THE BLACK LABEL,YG PLUS
