sing_id,artist_name,artist_url,유형,국적,장르,데뷔
90964131,THAMA,https://music.bugs.co.kr/artist/20036652?wl_ref=S_ab_01_02,솔로(남성),대한민국,"랩/힙합,알앤비/소울",2017.0
90964131,SOLE(쏠),https://music.bugs.co.kr/artist/80294022?wl_ref=S_ab_01_02,솔로(여성),대한민국,알앤비/소울,2017.0
90983818,한동근,https://music.bugs.co.kr/artist/80140261?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2012.0
85332026,지아(Zia),https://music.bugs.co.kr/artist/80025838?wl_ref=S_ab_01_02,솔로(여성),대한민국,발라드,2007.0
80743667,플라워,https://music.bugs.co.kr/artist/519?wl_ref=S_ab_01_02,그룹(남성),대한민국,"발라드,락/메탈",1999.0
80730268,바이브,https://music.bugs.co.kr/artist/13277?wl_ref=S_ab_01_02,듀오(남성),대한민국,발라드,2002.0
90990838,이우,https://music.bugs.co.kr/artist/20068088?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,
90994640,던(DAWN),https://music.bugs.co.kr/artist/20020589?wl_ref=S_ab_01_02,솔로(남성),대한민국,"랩/힙합,알앤비/소울",
90679574,Sing2Guitar,https://music.bugs.co.kr/artist/10656602?wl_ref=S_ab_01_02,,,팝,
90998269,환불원정대,https://music.bugs.co.kr/artist/80346761?wl_ref=S_ab_01_02,그룹(여성),대한민국,댄스/팝,2020.0
90994412,노을,https://music.bugs.co.kr/artist/37709?wl_ref=S_ab_01_02,그룹(남성),대한민국,발라드,2002.0
88752472,가비엔제이(GavyN.J.),https://music.bugs.co.kr/artist/80013375?wl_ref=S_ab_01_02,그룹(여성),대한민국,발라드,2005.0
80655845,V.O.S.,https://music.bugs.co.kr/artist/80000080?wl_ref=S_ab_01_02,그룹(남성),대한민국,발라드,2004.0
90989473,디셈버(December),https://music.bugs.co.kr/artist/80060671?wl_ref=S_ab_01_02,듀오(남성),대한민국,발라드,2009.0
90994658,임재현,https://music.bugs.co.kr/artist/20031632?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,발라드",
90997771,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997777,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997772,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
91029948,펜타곤,https://music.bugs.co.kr/artist/80269668?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2016.0
90997773,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997775,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997774,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997779,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997781,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997776,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997780,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997778,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997782,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90997783,NCT,https://music.bugs.co.kr/artist/80303692?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,
90998360,한동근,https://music.bugs.co.kr/artist/80140261?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2012.0
91029950,펜타곤,https://music.bugs.co.kr/artist/80269668?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2016.0
91029949,펜타곤,https://music.bugs.co.kr/artist/80269668?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2016.0
91029952,펜타곤,https://music.bugs.co.kr/artist/80269668?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2016.0
91029951,펜타곤,https://music.bugs.co.kr/artist/80269668?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2016.0
90931103,WouterHamel(바우터하멜),https://music.bugs.co.kr/artist/80044226?wl_ref=S_ab_01_02,솔로(남성),네덜란드,"발라드,팝,재즈",2008.0
86843858,폴킴(PaulKim),https://music.bugs.co.kr/artist/80178689?wl_ref=S_ab_01_02,솔로(남성),대한민국,"발라드,알앤비/소울",2014.0
43654297,SG워너비,https://music.bugs.co.kr/artist/65348?wl_ref=S_ab_01_02,그룹(남성),대한민국,발라드,2004.0
91030707,적재,https://music.bugs.co.kr/artist/8008787?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,발라드",
91038345,Lauv(라우브),https://music.bugs.co.kr/artist/80286124?wl_ref=S_ab_01_02,솔로(남성),미국,팝,2015.0
91038345,ConanGray,https://music.bugs.co.kr/artist/80321173?wl_ref=S_ab_01_02,솔로(남성),미국,팝,
85839818,앤씨아,https://music.bugs.co.kr/artist/80162636?wl_ref=S_ab_01_02,솔로(여성),대한민국,"댄스/팝,발라드",2013.0
91038462,로꼬,https://music.bugs.co.kr/artist/80132051?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2012.0
91041027,김우석,https://music.bugs.co.kr/artist/80251228?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",2015.0
91041027,이은상,https://music.bugs.co.kr/artist/80333803?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드,알앤비/소울",2019.0
91038461,로꼬,https://music.bugs.co.kr/artist/80132051?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2012.0
91038464,로꼬,https://music.bugs.co.kr/artist/80132051?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2012.0
91038463,로꼬,https://music.bugs.co.kr/artist/80132051?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2012.0
91035220,챈슬러,https://music.bugs.co.kr/artist/80163333?wl_ref=S_ab_01_02,솔로(남성),대한민국,알앤비/소울,
91035220,베이빌론(Babylon),https://music.bugs.co.kr/artist/80205058?wl_ref=S_ab_01_02,솔로(남성),대한민국,알앤비/소울,2015.0
91035220,트웰브(twlv),https://music.bugs.co.kr/artist/20046450?wl_ref=S_ab_01_02,솔로(남성),대한민국,"랩/힙합,알앤비/소울",2017.0
91035220,문수진(MoonSujin),https://music.bugs.co.kr/artist/20068400?wl_ref=S_ab_01_02,솔로(여성),대한민국,알앤비/소울,
91035220,비비(BIBI),https://music.bugs.co.kr/artist/20070472?wl_ref=S_ab_01_02,솔로(여성),대한민국,"랩/힙합,알앤비/소울",
91035220,지젤(Jiselle),https://music.bugs.co.kr/artist/20062153?wl_ref=S_ab_01_02,솔로(여성),대한민국,알앤비/소울,
91056002,오마이걸(OHMYGIRL),https://music.bugs.co.kr/artist/80226913?wl_ref=S_ab_01_02,그룹(여성),대한민국,댄스/팝,2015.0
50049860,브라운아이즈(BrownEyes),https://music.bugs.co.kr/artist/3676?wl_ref=S_ab_01_02,듀오(남성),대한민국,"발라드,알앤비/소울",2001.0
91041853,펀치(Punch),https://music.bugs.co.kr/artist/8059652?wl_ref=S_ab_01_02,솔로(여성),대한민국,"발라드,알앤비/소울",2014.0
91057585,첸(CHEN),https://music.bugs.co.kr/artist/80120273?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2012.0
91042473,개리,https://music.bugs.co.kr/artist/6544?wl_ref=S_ab_01_02,솔로(남성),대한민국,"랩/힙합,알앤비/소울",2002.0
91038380,마크툽(MAKTUB),https://music.bugs.co.kr/artist/80109484?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,알앤비/소울",2011.0
91038380,구윤회,https://music.bugs.co.kr/artist/80061190?wl_ref=S_ab_01_02,솔로(남성),대한민국,"발라드,알앤비/소울",
91041801,전미도,https://music.bugs.co.kr/artist/80135120?wl_ref=S_ab_01_02,솔로,대한민국,"댄스/팝,OST",
16131081,윤미래,https://music.bugs.co.kr/artist/7406?wl_ref=S_ab_01_02,솔로(여성),대한민국,"랩/힙합,알앤비/소울",1998.0
91045465,미연((여자)아이들),https://music.bugs.co.kr/artist/80307306?wl_ref=S_ab_01_02,솔로(여성),대한민국,"댄스/팝,발라드",
91045465,민니((여자)아이들),https://music.bugs.co.kr/artist/80307310?wl_ref=S_ab_01_02,솔로(여성),대한민국,OST,
87884388,정승환,https://music.bugs.co.kr/artist/80213200?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,
80774035,디셈버(December),https://music.bugs.co.kr/artist/80060671?wl_ref=S_ab_01_02,듀오(남성),대한민국,발라드,2009.0
80774035,제이세라(J-Cera),https://music.bugs.co.kr/artist/80079185?wl_ref=S_ab_01_02,솔로(여성),대한민국,발라드,2010.0
91057595,저스디스(JUSTHIS),https://music.bugs.co.kr/artist/80206219?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2015.0
91067080,이수현,https://music.bugs.co.kr/artist/80203306?wl_ref=S_ab_01_02,솔로(여성),대한민국,"댄스/팝,발라드,OST",2014.0
91057544,스탠딩에그(StandingEgg),https://music.bugs.co.kr/artist/80067125?wl_ref=S_ab_01_02,그룹(혼성),대한민국,"인디,발라드",2010.0
91069927,Sing2Piano,https://music.bugs.co.kr/artist/8705792?wl_ref=S_ab_01_02,,,팝,
49370024,씨야(SeeYa),https://music.bugs.co.kr/artist/80015692?wl_ref=S_ab_01_02,그룹(여성),대한민국,"댄스/팝,발라드,알앤비/소울",2006.0
80765897,블랙펄(BlackPearl),https://music.bugs.co.kr/artist/80025982?wl_ref=S_ab_01_02,그룹(여성),대한민국,"댄스/팝,발라드",2007.0
91069934,RedVelvet(레드벨벳),https://music.bugs.co.kr/artist/80199440?wl_ref=S_ab_01_02,그룹(여성),대한민국,댄스/팝,2014.0
91069621,송하예,https://music.bugs.co.kr/artist/80151950?wl_ref=S_ab_01_02,솔로(여성),대한민국,"발라드,OST",2013.0
91070810,벤,https://music.bugs.co.kr/artist/80093826?wl_ref=S_ab_01_02,솔로(여성),대한민국,발라드,
91049047,Dept(뎁트),https://music.bugs.co.kr/artist/20020910?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,알앤비/소울",
91069929,XIA(준수),https://music.bugs.co.kr/artist/80001104?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",2004.0
91070049,정승환,https://music.bugs.co.kr/artist/80213200?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,
